problem,domain,solver,solved,plan_length,plan_cost,expanded,reopened,evaluated,evaluations,generated,dead_ends,search_time,total_time
p16.pddl,data-network-sat18-strips,1,1,140,2078,1593604,0,1593605,3187210,152735996,0,229.742457,229.802158
p17.pddl,data-network-sat18-strips,1,0,,,,,,,,,,
p18.pddl,data-network-sat18-strips,1,0,,,,,,,,,,
p19.pddl,data-network-sat18-strips,1,0,,,,,,,,,,
p20.pddl,data-network-sat18-strips,1,0,,,,,,,,,,
p01.pddl,elevators-sat08-strips,1,1,20,66,94,0,95,190,1679,0,0.0,0.002709
p02.pddl,elevators-sat08-strips,1,1,28,103,95,0,96,192,1820,0,0.0,0.003788
p03.pddl,elevators-sat08-strips,1,1,23,130,49,0,50,100,956,0,0.0,0.003954
p04.pddl,elevators-sat08-strips,1,1,40,180,375,0,376,752,7660,0,0.003935,0.010303
p05.pddl,elevators-sat08-strips,1,1,36,166,139,0,140,280,2873,0,0.003931,0.007228
p06.pddl,elevators-sat08-strips,1,1,41,140,174,0,175,350,3588,0,0.003927,0.009715
p07.pddl,elevators-sat08-strips,1,1,54,165,363,0,364,728,7812,0,0.007876,0.014136
p08.pddl,elevators-sat08-strips,1,1,52,196,311,0,312,624,7249,0,0.007883,0.015537
p09.pddl,elevators-sat08-strips,1,1,55,234,346,0,347,694,7675,0,0.007867,0.015543
p10.pddl,elevators-sat08-strips,1,1,81,314,711,0,712,1424,16322,0,0.019717,0.027619
p11.pddl,elevators-sat08-strips,1,1,39,162,166,0,167,334,4631,0,0.003934,0.011848
p12.pddl,elevators-sat08-strips,1,1,58,296,333,0,334,668,9227,0,0.011788,0.023074
p13.pddl,elevators-sat08-strips,1,1,56,312,364,0,365,730,10874,0,0.011809,0.02365
p14.pddl,elevators-sat08-strips,1,1,80,346,658,0,659,1318,20264,0,0.02357,0.039364
p15.pddl,elevators-sat08-strips,1,1,107,652,1761,0,1762,3524,52829,0,0.070813,0.089117
