Domain,Problem,Planner,solved,cost,length,expanded,time
thoughtful-sat14-strips,target-typed-22,solver_1,True,130.0,130.0,760.0,0.378597
thoughtful-sat14-strips,target-typed-20,solver_1,True,126.0,126.0,672.0,0.407147
thoughtful-sat14-strips,target-typed-25,solver_1,True,121.0,121.0,1657.0,0.594462
thoughtful-sat14-strips,target-typed-27,solver_1,True,143.0,143.0,895.0,0.438069
thoughtful-sat14-strips,p13_7_78-typed,solver_1,False,,,,
thoughtful-sat14-strips,bootstrap-typed-05,solver_1,True,34.0,34.0,71.0,0.017527
thoughtful-sat14-strips,p11_6_59-typed,solver_1,False,,,,
thoughtful-sat14-strips,p13_7_79-typed,solver_1,True,114.0,114.0,623.0,0.391221
thoughtful-sat14-strips,target-typed-23,solver_1,True,123.0,123.0,784.0,0.461964
thoughtful-sat14-strips,p11_6_62-typed,solver_1,False,,,,
thoughtful-sat14-strips,target-typed-21,solver_1,True,164.0,164.0,1912.0,0.698011
thoughtful-sat14-strips,target-typed-26,solver_1,True,126.0,126.0,508.0,0.339969
thoughtful-sat14-strips,bootstrap-typed-01,solver_1,True,30.0,30.0,71.0,0.017276
thoughtful-sat14-strips,bootstrap-typed-03,solver_1,True,33.0,33.0,59.0,0.018613
thoughtful-sat14-strips,bootstrap-typed-02,solver_1,True,27.0,27.0,38.0,0.015856
thoughtful-sat14-strips,target-typed-28,solver_1,True,133.0,133.0,985.0,0.416787
thoughtful-sat14-strips,p11_6_53-typed,solver_1,False,,,,
thoughtful-sat14-strips,target-typed-24,solver_1,False,,,,
thoughtful-sat14-strips,p13_7_86-typed,solver_1,True,128.0,128.0,2033.0,0.587176
transport-sat11-strips,p06,solver_1,True,5273.0,246.0,28883.0,7.223258
transport-sat11-strips,p14,solver_1,False,,,,
transport-sat11-strips,p13,solver_1,True,2935.0,237.0,4828.0,2.363972
transport-sat11-strips,p17,solver_1,True,5418.0,339.0,46831.0,87.248691
transport-sat11-strips,p01,solver_1,True,1503.0,119.0,984.0,0.34664
transport-sat11-strips,p20,solver_1,True,5632.0,343.0,10547.0,24.60155
transport-sat11-strips,p09,solver_1,True,6208.0,306.0,15543.0,6.403439
transport-sat11-strips,p08,solver_1,True,1576.0,140.0,1611.0,0.78957
transport-sat11-strips,p05,solver_1,True,5807.0,233.0,11832.0,2.408671
transport-sat11-strips,p04,solver_1,True,4413.0,148.0,3684.0,0.586108
transport-sat11-strips,p03,solver_1,True,3555.0,141.0,2269.0,0.984585
transport-sat11-strips,p07,solver_1,True,7802.0,348.0,32491.0,10.629094
transport-sat11-strips,p16,solver_1,False,,,,
transport-sat11-strips,p19,solver_1,True,5783.0,374.0,41446.0,86.022225
transport-sat11-strips,p18,solver_1,True,5285.0,322.0,13337.0,23.532491
transport-sat11-strips,p02,solver_1,True,1451.0,126.0,1092.0,0.492301
transport-sat11-strips,p10,solver_1,True,6090.0,211.0,4461.0,2.181061
transport-sat11-strips,p12,solver_1,True,2318.0,193.0,3140.0,1.441088
transport-sat11-strips,p15,solver_1,True,6287.0,415.0,260212.0,232.846063
transport-sat11-strips,p11,solver_1,True,2059.0,181.0,2612.0,1.315739
parking-sat11-strips,pfile09-033,solver_1,True,79.0,79.0,1470.0,1.21851
parking-sat11-strips,pfile08-031,solver_1,True,62.0,62.0,588.0,0.52007
parking-sat11-strips,pfile13-050,solver_1,True,97.0,97.0,1793.0,3.903268
parking-sat11-strips,pfile10-037,solver_1,True,83.0,83.0,1740.0,1.751406
parking-sat11-strips,pfile08-032,solver_1,True,48.0,48.0,205.0,0.380206
parking-sat11-strips,pfile12-048,solver_1,True,107.0,107.0,2896.0,4.080763
parking-sat11-strips,pfile12-045,solver_1,True,97.0,97.0,2025.0,3.27034
parking-sat11-strips,pfile11-041,solver_1,True,91.0,91.0,1009.0,1.634
parking-sat11-strips,pfile09-036,solver_1,True,68.0,68.0,1286.0,1.158262
parking-sat11-strips,pfile11-042,solver_1,True,91.0,91.0,1221.0,1.816913
parking-sat11-strips,pfile11-044,solver_1,True,79.0,79.0,1458.0,2.039518
parking-sat11-strips,pfile10-039,solver_1,True,79.0,79.0,932.0,1.208466
parking-sat11-strips,pfile09-035,solver_1,True,64.0,64.0,558.0,0.754632
parking-sat11-strips,pfile13-049,solver_1,True,80.0,80.0,1172.0,3.059458
parking-sat11-strips,pfile09-034,solver_1,True,73.0,73.0,1015.0,0.95763
parking-sat11-strips,pfile12-047,solver_1,True,93.0,93.0,2199.0,3.357301
parking-sat11-strips,pfile12-046,solver_1,True,74.0,74.0,774.0,1.999321
parking-sat11-strips,pfile10-038,solver_1,True,75.0,75.0,1312.0,1.474087
parking-sat11-strips,pfile10-040,solver_1,True,76.0,76.0,1616.0,1.687308
parking-sat11-strips,pfile11-043,solver_1,True,84.0,84.0,1653.0,2.219736
floortile-sat14-strips,p04-5-5-2,solver_1,False,,,,
floortile-sat14-strips,p04-5-4-2,solver_1,False,,,,
floortile-sat14-strips,p03-6-4-2,solver_1,False,,,,
floortile-sat14-strips,p04-6-5-3,solver_1,False,,,,
floortile-sat14-strips,p05-4-3-2,solver_1,True,87.0,37.0,92444.0,0.835242
floortile-sat14-strips,p01-6-5-3,solver_1,False,,,,
floortile-sat14-strips,p02-6-5-2,solver_1,False,,,,
floortile-sat14-strips,p01-6-4-2,solver_1,False,,,,
floortile-sat14-strips,p01-6-5-2,solver_1,False,,,,
floortile-sat14-strips,p02-6-4-2,solver_1,False,,,,
floortile-sat14-strips,p05-6-5-3,solver_1,False,,,,
floortile-sat14-strips,p01-4-3-2,solver_1,True,97.0,39.0,400465.0,4.009803
floortile-sat14-strips,p02-6-5-3,solver_1,False,,,,
floortile-sat14-strips,p03-6-5-3,solver_1,False,,,,
floortile-sat14-strips,p01-5-5-2,solver_1,False,,,,
floortile-sat14-strips,p04-6-5-2,solver_1,False,,,,
